業界,概要文
食品店業界の会社,千葉県を中心として「わくわく広場」という名称の農産物直売所を運営している。またホームセンター「ファミリーセンタータカヨシ」の運営も行っている。
高齢者向け福祉業界の会社,居宅介護事業所「ヘルパーステーションかのん」やデイサービス「樹楽稲葉荘」の運営を行っている。 食事や排せつなどの介助、調理および掃除などの生活援助に取り組む。また、デイサービスでは機能訓練等のサービスも手掛けている。
タクシー業界の会社,kmグループに属し、自社のドライバー基準を満たしたドライバーが接客サービスを行うタクシー会社。東京四社共通チケットやクレジット会社発行タクシーチケット、交通系ICや各種クレジットカードの支払いに対応している。
Webサービス・アプリ運営業界の会社,複数メーカーのフォントがすべて使用でき、アプリに対応している年間定額制フォントサービス「LETS」の開発と販売を行う。LETSの会員限定の、ロイヤリティフリーの写真素材「AIデータ」も開発している。まんがのフォントが使える「mojimo-manga」も取り扱っている。
タクシー業界の会社,通常のタクシーでの送迎に加え、ジャンボタクシーや子育て支援タクシー、介護専用タクシーなどの業務を手掛ける。その他、放置車両撤去サービスも行う。
タクシー業界の会社,"京都を中心に、近畿圏でタクシーを運行している会社。タクシーを貸し切り、世界遺産巡りと伝統工芸体験ができる京都観光プランなどを提供している。5,000円以上のメーター料金を半額に割り引く制度や、24時間同一料金など、夜間や長距離で利用しやすいことを特徴とする。"
警備業界の会社,北海道旭川市を拠点とし、土木工事現場や建設工事現場における交通誘導警備などを手掛ける。
金属部品製造業界の会社,群馬県高崎市に事業所を置き、金属の機械加工を行い工作機械部品や建設機械部品の製造を手掛ける。また、油圧モーターやシリンダー、自動車やオートバイ部品の製造も行う。他に、部品の組立や検査にも対応する。
高齢者向け福祉業界の会社,あんしんセンター事業として、高齢者向けの緊急通報サービスや健康相談サービス、特定保健指導などを手掛けている。また、介護事業も行っており、「かたくり在宅介護センター」「かたくりの里デイサービス」などの介護施設を運営している。さらに、福祉用具の販売やレンタルも実施しており、アフターサービスやメンテナンスにも対応する。
警備業界の会社,一般の建物における「セキュリティシステム」や、一般家庭における「ホームセキュリティシステム」などの機械警備を行う。また、官公庁や会社及び銀行などで、火災や盗難などの防止に努める常駐警備も手掛ける。さらに、保安警備や催事警備及び輸送警備なども行っている。
